"Tipo de Información","Tipo de Tarifa","Tipo de Dato","Rango de Consumo","Nivel","Propiedad Epm","Compartido","Propiedad del Cliente","Punta","Fuera de Punta","Año","Mes"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$447,16","$429,82","$412,48","$0,00","$0,00","2017","Enero"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$471,84","$454,42","$437,01","$0,00","$0,00","2016","Diciembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$564,72","$543,55","$522,38","$0,00","$0,00","2017","Diciembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$562,58","$541,79","$520,99","$0,00","$0,00","2017","Julio"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$566,21","$545,31","$524,41","$0,00","$0,00","2016","Diciembre"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$453,75","$436,41","$419,08","$0,00","$0,00","2017","Mayo"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$544,50","$523,70","$502,90","$0,00","$0,00","2017","Mayo"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$468,82","$451,49","$434,16","$0,00","$0,00","2017","Julio"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$561,09","$539,90","$518,70","$0,00","$0,00","2018","Enero"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$624,24","$601,37","$578,50","$0,00","$0,00","2020","Enero"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$520,20","$501,14","$482,08","$0,00","$0,00","2020","Enero"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$680,83","$653,16","$625,49","$0,00","$0,00","2020","Febrero"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$567,36","$544,30","$521,24","$0,00","$0,00","2020","Febrero"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$687,64","$659,69","$631,74","$0,00","$0,00","2020","Marzo"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$573,03","$549,74","$526,45","$0,00","$0,00","2020","Marzo"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$680,83","$653,16","$625,49","$0,00","$0,00","2020","Abril"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$567,36","$544,30","$521,24","$0,00","$0,00","2020","Abril"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$680,83","$653,16","$625,49","$0,00","$0,00","2020","Junio"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$567,36","$544,30","$521,24","$0,00","$0,00","2020","Junio"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$680,83","$653,16","$625,49","$0,00","$0,00","2020","Julio"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$567,36","$544,30","$521,24","$0,00","$0,00","2020","Julio"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$680,83","$653,16","$625,49","$0,00","$0,00","2020","Agosto"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$567,36","$544,30","$521,24","$0,00","$0,00","2020","Agosto"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$680,83","$653,16","$625,49","$0,00","$0,00","2020","Septiembre"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$567,36","$544,30","$521,24","$0,00","$0,00","2020","Septiembre"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$680,83","$653,16","$625,49","$0,00","$0,00","2020","Octubre"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$567,36","$544,30","$521,24","$0,00","$0,00","2020","Octubre"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$680,83","$653,16","$625,49","$0,00","$0,00","2020","Noviembre"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$567,36","$544,30","$521,24","$0,00","$0,00","2020","Noviembre"
"Monomia","Costo Unitario","Costo Compra: Gm, i","N/A","I","$216,46","$216,46","$216,46","$0,00","$0,00","2020","Diciembre"
"Monomia","Costo Unitario","Cargo transporte STN: Tm","N/A","I","$31,34","$31,34","$31,34","$0,00","$0,00","2020","Diciembre"
"Monomia","Costo Unitario","Cargo transporte SDL: Dn, m","N/A","I","$211,37","$188,81","$166,25","$0,00","$0,00","2020","Diciembre"
"Monomia","Costo Unitario","Margen comercialización: CVm, i, j","N/A","I","$50,32","$50,32","$50,32","$0,00","$0,00","2020","Diciembre"
"Monomia","Costo Unitario","Costo G, T, pérdidas: PRn, m","N/A","I","$48,64","$48,64","$48,64","$0,00","$0,00","2020","Diciembre"
"Monomia","Costo Unitario","Restricciones: Rm","N/A","I","$21,42","$21,42","$21,42","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Costo compra: Gm,i","Punta","I","$219,34","$219,34","$219,34","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Cargo transporte STN: Tm","Punta","I","$34,22","$34,22","$34,22","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Cargo transporte SDL: Dn,m","Punta","I","$211,37","$188,81","$166,25","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Margen comercialización: CVm,i,j","Punta","I","$50,32","$50,32","$50,32","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Costo G, T, pérdidas: PRn,m","Punta","I","$49,44","$49,44","$49,44","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Restricciones: Rm","Punta","I","$19,47","$19,47","$19,47","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Costo compra: Gm,i","Fuera de Punta","I","$215,25","$215,25","$215,25","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Cargo transporte STN: Tm","Fuera de Punta","I","$30,43","$30,43","$30,43","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Cargo transporte SDL: Dn,m","Fuera de Punta","I","$211,37","$188,81","$166,25","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Margen comercialización: CVm,i,j","Fuera de Punta","I","$50,32","$50,32","$50,32","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Costo G, T, pérdidas: PRn,m","Fuera de Punta","I","$48,38","$48,38","$48,38","$0,00","$0,00","2020","Diciembre"
"Horaria","Costo Unitario","Restricciones: Rm","Fuera de Punta","I","$22,19","$22,19","$22,19","$0,00","$0,00","2020","Diciembre"
"Monomia","Costo Unitario","Costo Compra: Gm, i","N/A","I","$231,71","$231,71","$231,71","$0,00","$0,00","2021","Marzo"
"Monomia","Costo Unitario","Cargo transporte STN: Tm","N/A","I","$41,18","$41,18","$41,18","$0,00","$0,00","2021","Marzo"
"Monomia","Costo Unitario","Cargo transporte SDL: Dn, m","N/A","I","$220,97","$198,85","$176,73","$0,00","$0,00","2021","Marzo"
"Monomia","Costo Unitario","Margen comercialización: CVm, i, j","N/A","I","$50,36","$50,36","$50,36","$0,00","$0,00","2021","Marzo"
"Monomia","Costo Unitario","Costo G, T, pérdidas: PRn, m","N/A","I","$47,83","$47,83","$47,83","$0,00","$0,00","2021","Marzo"
"Monomia","Costo Unitario","Restricciones: Rm","N/A","I","$12,54","$12,54","$12,54","$0,00","$0,00","2021","Marzo"
"Monomia","Costo Unitario","Costo Compra: Gm, i","N/A","I","$216,57","$216,57","$216,57","$0,00","$0,00","2020","Mayo"
"Monomia","Costo Unitario","Cargo transporte STN: Tm","N/A","I","$43,93","$43,93","$43,93","$0,00","$0,00","2020","Mayo"
"Monomia","Costo Unitario","Cargo transporte SDL: Dn, m","N/A","I","$215,93","$192,29","$168,65","$0,00","$0,00","2020","Mayo"
"Monomia","Costo Unitario","Margen comercialización: CVm, i, j","N/A","I","$46,92","$46,92","$46,92","$0,00","$0,00","2020","Mayo"
"Monomia","Costo Unitario","Costo G, T, pérdidas: PRn, m","N/A","I","$48,65","$48,65","$48,65","$0,00","$0,00","2020","Mayo"
"Monomia","Costo Unitario","Restricciones: Rm","N/A","I","$5,11","$5,11","$5,11","$0,00","$0,00","2020","Mayo"
"Horaria","Costo Unitario","Costo compra: Gm,i","Punta","I","$216,84","$216,84","$216,84","$0,00","$0,00","2020","Mayo"
"Horaria","Costo Unitario","Cargo transporte STN: Tm","Punta","I","$47,88","$47,88","$47,88","$0,00","$0,00","2020","Mayo"
"Horaria","Costo Unitario","Cargo transporte SDL: Dn,m","Punta","I","$215,93","$192,29","$168,65","$0,00","$0,00","2020","Mayo"
"Horaria","Costo Unitario","Margen comercialización: CVm,i,j","Punta","I","$46,92","$46,92","$46,92","$0,00","$0,00","2020","Mayo"
"Horaria","Costo Unitario","Costo G, T, pérdidas: PRn,m","Punta","I","$48,64","$48,64","$48,64","$0,00","$0,00","2020","Mayo"
"Horaria","Costo Unitario","Restricciones: Rm","Punta","I","$4,70","$4,70","$4,70","$0,00","$0,00","2020","Mayo"
"Monomia","Costo Unitario","Costo Compra: Gm, i","N/A","I","$212,92","$212,92","$212,92","$0,00","$0,00","2021","Enero"
"Monomia","Costo Unitario","Cargo transporte STN: Tm","N/A","I","$36,10","$36,10","$36,10","$0,00","$0,00","2021","Enero"
"Monomia","Costo Unitario","Cargo transporte SDL: Dn, m","N/A","I","$206,30","$184,70","$163,10","$0,00","$0,00","2021","Enero"
"Monomia","Costo Unitario","Margen comercialización: CVm, i, j","N/A","I","$49,44","$49,44","$49,44","$0,00","$0,00","2021","Enero"
"Monomia","Costo Unitario","Costo G, T, pérdidas: PRn, m","N/A","I","$47,65","$47,65","$47,65","$0,00","$0,00","2021","Enero"
"Monomia","Costo Unitario","Restricciones: Rm","N/A","I","$22,39","$22,39","$22,39","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Costo compra: Gm,i","Punta","I","$215,13","$215,13","$215,13","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Cargo transporte STN: Tm","Punta","I","$39,30","$39,30","$39,30","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Cargo transporte SDL: Dn,m","Punta","I","$206,30","$184,70","$163,10","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Margen comercialización: CVm,i,j","Punta","I","$49,44","$49,44","$49,44","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Costo G, T, pérdidas: PRn,m","Punta","I","$48,40","$48,40","$48,40","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Restricciones: Rm","Punta","I","$21,11","$21,11","$21,11","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Costo compra: Gm,i","Fuera de Punta","I","$211,98","$211,98","$211,98","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Cargo transporte STN: Tm","Fuera de Punta","I","$35,08","$35,08","$35,08","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Cargo transporte SDL: Dn,m","Fuera de Punta","I","$206,30","$184,70","$163,10","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Margen comercialización: CVm,i,j","Fuera de Punta","I","$49,44","$49,44","$49,44","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Costo G, T, pérdidas: PRn,m","Fuera de Punta","I","$47,41","$47,41","$47,41","$0,00","$0,00","2021","Enero"
"Horaria","Costo Unitario","Restricciones: Rm","Fuera de Punta","I","$22,89","$22,89","$22,89","$0,00","$0,00","2021","Enero"
"Monomia","Costo Unitario","Costo Compra: Gm, i","N/A","I","$219,07","$219,07","$219,07","$0,00","$0,00","2021","Febrero"
"Monomia","Costo Unitario","Cargo transporte STN: Tm","N/A","I","$43,96","$43,96","$43,96","$0,00","$0,00","2021","Febrero"
"Monomia","Costo Unitario","Cargo transporte SDL: Dn, m","N/A","I","$218,23","$196,38","$174,53","$0,00","$0,00","2021","Febrero"
"Monomia","Costo Unitario","Margen comercialización: CVm, i, j","N/A","I","$49,58","$49,58","$49,58","$0,00","$0,00","2021","Febrero"
"Monomia","Costo Unitario","Costo G, T, pérdidas: PRn, m","N/A","I","$46,62","$46,62","$46,62","$0,00","$0,00","2021","Febrero"
"Monomia","Costo Unitario","Restricciones: Rm","N/A","I","$20,77","$20,77","$20,77","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Margen comercialización: CVm,i,j","Fuera de Punta","I","$43,00","$43,00","$43,00","$0,00","$0,00","2018","Mayo"
"Horaria","Costo Unitario","Costo compra: Gm, i","Fuera de Punta","I","$167,22","$167,22","$167,22","$0,00","$0,00","2018","Mayo"
"Monomia","Costo Unitario","Cargo transporte STN: Tm","N/A","I","$27,08","$27,08","$27,08","$0,00","$0,00","2018","Mayo"
"Horaria","Costo Unitario","Cargo transporte SDL: Dn,m","Punta","I","$176,21","$158,54","$140,88","$0,00","$0,00","2018","Mayo"
"Horaria","Costo Unitario","Costo compra: Gm,i","Punta","I","$219,62","$219,62","$219,62","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Cargo transporte STN: Tm","Punta","I","$48,34","$48,34","$48,34","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Cargo transporte SDL: Dn,m","Punta","I","$218,23","$196,38","$174,53","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Margen comercialización: CVm,i,j","Punta","I","$49,58","$49,58","$49,58","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Costo G, T, pérdidas: PRn,m","Punta","I","$47,20","$47,20","$47,20","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Restricciones: Rm","Punta","I","$19,05","$19,05","$19,05","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Costo compra: Gm,i","Fuera de Punta","I","$218,61","$218,61","$218,61","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Cargo transporte STN: Tm","Fuera de Punta","I","$42,51","$42,51","$42,51","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Cargo transporte SDL: Dn,m","Fuera de Punta","I","$218,23","$196,38","$174,53","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Margen comercialización: CVm,i,j","Fuera de Punta","I","$49,58","$49,58","$49,58","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Costo G, T, pérdidas: PRn,m","Fuera de Punta","I","$46,40","$46,40","$46,40","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Restricciones: Rm","Fuera de Punta","I","$21,44","$21,44","$21,44","$0,00","$0,00","2021","Febrero"
"Horaria","Costo Unitario","Costo compra: Gm,i","Punta","I","$233,27","$233,27","$233,27","$0,00","$0,00","2021","Marzo"
"Horaria","Costo Unitario","Cargo transporte STN: Tm","Punta","I","$44,73","$44,73","$44,73","$0,00","$0,00","2021","Marzo"
"Horaria","Costo Unitario","Cargo transporte SDL: Dn,m","Punta","I","$220,97","$198,85","$176,73","$0,00","$0,00","2021","Marzo"
"Horaria","Costo Unitario","Margen comercialización: CVm,i,j","Punta","I","$50,36","$50,36","$50,36","$0,00","$0,00","2021","Marzo"
"Horaria","Costo Unitario","Costo G, T, pérdidas: PRn,m","Punta","I","$48,28","$48,28","$48,28","$0,00","$0,00","2021","Marzo"
"Horaria","Costo Unitario","Restricciones: Rm","Punta","I","$11,58","$11,58","$11,58","$0,00","$0,00","2021","Marzo"
"Horaria","Costo Unitario","Costo compra: Gm,i","Fuera de Punta","I","$231,35","$231,35","$231,35","$0,00","$0,00","2021","Marzo"
"Horaria","Costo Unitario","Cargo transporte STN: Tm","Fuera de Punta","I","$40,08","$40,08","$40,08","$0,00","$0,00","2021","Marzo"
"Horaria","Costo Unitario","Cargo transporte SDL: Dn,m","Fuera de Punta","I","$220,97","$198,85","$176,73","$0,00","$0,00","2021","Marzo"
"Horaria","Costo Unitario","Margen comercialización: CVm,i,j","Fuera de Punta","I","$50,36","$50,36","$50,36","$0,00","$0,00","2021","Marzo"
