"Municipio","Sector","Estrato","Servicio","Cargo Fijo","Cargo por Consumo Menor","Cargo por Consumo Mayor","Cargo por Consumo","Suspensión","Reinstalación","Reconexión","Corte","Año","Mes"
"Girardota","Residencial","6","Acueducto","$11.275,82","$5.175,20","$5.175,20","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","6","Alcantarillado","$6.485,07","$4.152,22","$4.152,22","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Comercial","Comercial","Acueducto","$11.275,82","$0,00","$0,00","$5.175,20","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Comercial","Comercial","Alcantarillado","$6.079,76","$0,00","$0,00","$3.892,71","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Industrial","Industrial","Acueducto","$9.866,35","$0,00","$0,00","$4.528,30","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Industrial","Industrial","Alcantarillado","$5.269,12","$0,00","$0,00","$3.373,68","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Oficial y Exenta","Oficial y Exenta","Acueducto","$7.047,39","$0,00","$0,00","$3.234,50","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Oficial y Exenta","Oficial y Exenta","Alcantarillado","$4.053,17","$0,00","$0,00","$2.595,14","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","1","Acueducto","$3.876,06","$1.788,98","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","1","Alcantarillado","$2.229,24","$1.427,33","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","2","Acueducto","$4.580,80","$2.102,43","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","2","Alcantarillado","$2.634,56","$1.686,84","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","3","Acueducto","$6.695,02","$3.072,78","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","3","Alcantarillado","$3.850,51","$2.465,38","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","4","Acueducto","$7.047,39","$3.234,50","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","4","Alcantarillado","$4.053,17","$2.595,14","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","5","Acueducto","$10.571,09","$4.851,75","$4.851,75","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","5","Alcantarillado","$6.079,76","$3.892,71","$3.892,71","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","6","Acueducto","$11.275,82","$5.175,20","$5.175,20","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Itaguí","Residencial","6","Alcantarillado","$6.485,07","$4.152,22","$4.152,22","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Comercial","Comercial","Acueducto","$10.923,45","$0,00","$0,00","$5.013,48","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Comercial","Comercial","Alcantarillado","$6.282,41","$0,00","$0,00","$4.022,47","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Industrial","Industrial","Acueducto","$10.127,10","$0,00","$0,00","$4.647,98","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Industrial","Industrial","Alcantarillado","$5.893,31","$0,00","$0,00","$3.773,33","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Oficial y Exenta","Oficial y Exenta","Acueducto","$7.047,39","$0,00","$0,00","$3.234,50","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Oficial y Exenta","Oficial y Exenta","Alcantarillado","$4.053,17","$0,00","$0,00","$2.595,14","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","1","Acueducto","$2.114,22","$970,35","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","1","Alcantarillado","$1.215,95","$778,54","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","2","Acueducto","$4.228,43","$1.940,70","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","2","Alcantarillado","$2.431,90","$1.557,08","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","3","Acueducto","$6.835,47","$3.137,47","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","3","Alcantarillado","$3.809,98","$2.439,43","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","4","Acueducto","$7.047,39","$3.234,50","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","4","Alcantarillado","$4.053,17","$2.595,14","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","5","Acueducto","$10.571,09","$4.851,75","$4.851,75","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","5","Alcantarillado","$6.079,76","$3.892,71","$3.892,71","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","6","Acueducto","$11.275,82","$5.175,20","$5.175,20","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"La Estrella","Residencial","6","Alcantarillado","$6.485,07","$4.152,22","$4.152,22","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Comercial","Comercial","Acueducto","$10.571,09","$0,00","$0,00","$4.851,75","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Comercial","Comercial","Alcantarillado","$6.079,76","$0,00","$0,00","$3.892,71","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Industrial","Industrial","Acueducto","$9.161,61","$0,00","$0,00","$4.204,85","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Industrial","Industrial","Alcantarillado","$5.269,12","$0,00","$0,00","$3.373,68","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Oficial y Exenta","Oficial y Exenta","Acueducto","$7.047,39","$0,00","$0,00","$3.234,50","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Oficial y Exenta","Oficial y Exenta","Alcantarillado","$4.053,17","$0,00","$0,00","$2.595,61","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Residencial","1","Acueducto","$2.396,11","$1.099,73","$3.342,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Residencial","1","Alcantarillado","$1.378,08","$882,35","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Residencial","2","Acueducto","$4.228,43","$1.940,70","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Residencial","2","Alcantarillado","$2.431,90","$1.557,08","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Residencial","3","Acueducto","$5.990,28","$2.749,33","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Residencial","3","Alcantarillado","$3.445,19","$2.205,87","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Residencial","4","Acueducto","$7.047,39","$3.234,50","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Residencial","4","Alcantarillado","$4.053,17","$2.595,14","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Residencial","5","Acueducto","$10.571,09","$4.851,75","$4.851,75","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Medellín","Residencial","5","Alcantarillado","$6.079,76","$3.892,71","$3.892,71","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
